Alabama, Katie Britt, Republican, 202-224-3416
Alabama, Tommy Tuberville, Republican, 202-224-3149
Alaska, Lisa Murkowski, Republican, 202-224-5301
Alaska, Daniel S. Sullivan, Republican, 202-224-6501
Arizona, Mark Kelly, Democratic, Not Found
Arizona, Kyrsten Sinema, Independent, Not Found
Arkansas, John Boozman, Republican, 870-863-4105
Arkansas, Tom Cotton, Republican, 202-228-0908
California, Laphonza Butler, Democratic, 202-228-3954
California, Alex Padilla, Democratic, 202-224-2200
Colorado, Michael Bennet, Democratic, 202-228-5097
Colorado, John Hickenlooper, Democratic, Not Found
Connecticut, Richard Blumenthal, Democratic, 202-224-9673
Connecticut, Christopher S. Murphy, Democratic, 202-224-9750
Delaware, Tom Carper, Democratic, 202-228-2190
Delaware, Chris Coons, Democratic, 202-228-3075
Florida, Marco Rubio, Republican, 202-228-0285
Florida, Rick Scott, Republican, 202-228-5171
Georgia, Jon Ossoff, Democratic, 202-228-0724
Georgia, Raphael Warnock, Democratic, 202-228-0724
Hawaii, Mazie K. Hirono, Democratic, 202-224-2126
Hawaii, Brian E. Schatz, Democratic, 202-228-1153
Idaho, Mike Crapo, Republican, 202-228-1375
Idaho, Jim Risch, Republican, 202-224-2573
Illinois, Tammy Duckworth, Democratic, Not Found
Illinois, Dick Durbin, Democratic, 202-228-0400
Indiana, Mike Braun, Republican, Not Found
Indiana, Todd C. Young, Republican, 202-224-1845
Iowa, Joni Ernst, Republican, 202-228-2838
Iowa, Chuck Grassley, Republican, 202-224-6020
Kansas, Roger Marshall, Republican, Not Found
Kansas, Jerry Moran, Republican, 202-224-3514
Kentucky, Mitch McConnell, Republican, 202-224-2499
Kentucky, Rand Paul, Republican, Not Found
Louisiana, Bill Cassidy, Republican, 202-224-6161
Louisiana, John Neely Kennedy, Republican, 202-228-0447
Maine, Susan Collins, Republican, 202-224-2693
Maine, Angus King, Independent, 202-224-1946
Maryland, Ben Cardin, Democratic, 202-224-1651
Maryland, Chris Van Hollen, Democratic, 202-225-0375
Massachusetts, Edward J. Markey, Democratic, Not Found
Massachusetts, Elizabeth Warren, Democratic, Not Found
Michigan, Gary Peters, Democratic, 202-224-7387
Michigan, Debbie Stabenow, Democratic, 202-228-0325
Minnesota, Amy Klobuchar, Democratic, 202-228-2186
Minnesota, Tina Smith, Democratic, Not Found
Mississippi, Cindy Hyde-Smith, Republican, 202-224-5321
Mississippi, Roger Wicker, Republican, Not Found
Missouri, Josh Hawley, Republican, 202-228-0526
Missouri, Eric Schmitt, Republican, Not Found
Montana, Steve Daines, Republican, 202-228-1236
Montana, Jon Tester, Democratic, 202-224-8594
Nebraska, Deb Fischer, Republican, 202-228-1325
Nebraska, Pete Ricketts, Republican, Not Found
Nevada, Catherine Cortez Masto, Democratic, 775-686-5757
Nevada, Jacky Rosen, Democratic, 202-228-6753
New Hampshire, Maggie Hassan, Democratic, 202-228-0581
New Hampshire, Jeanne Shaheen, Democratic, 202-228-3194
New Jersey, Cory Booker, Democratic, 202-224-8378
New Jersey, Bob Menendez, Democratic, 202-228-2197
New Mexico, Martin Heinrich, Democratic, 505-346-6780
New Mexico, Ben Ray Lujan, Democratic, 202-228-2841
New York, Kirsten Gillibrand, Democratic, 518-431-0128
New York, Chuck Schumer, Democratic, 202-228-3027
North Carolina, Ted Budd, Republican, Not Found
North Carolina, Thom Tillis, Republican, 202-228-2563
North Dakota, Kevin Cramer, Republican, Not Found
North Dakota, John Hoeven, Republican, 202-224-7999
Ohio, Sherrod Brown, Democratic, 202-228-6321
Ohio, JD Vance, Republican, 202-224-9075
Oklahoma, James Lankford, Republican, 202-228-1015
Oklahoma, Markwayne Mullin, Republican, Not Found
Oregon, Jeff Merkley, Democratic, 202-228-3997
Oregon, Ron Wyden, Democratic, 202-228-2717
Pennsylvania, Bob Casey Jr., Democratic, 202-228-0604
Pennsylvania, John Fetterman, Democratic, 202-228-0284
Rhode Island, Jack Reed, Democratic, 202-224-4680
Rhode Island, Sheldon Whitehouse, Democratic, 202-228-6362
South Carolina, Lindsey Graham, Republican, 202-224-3808
South Carolina, Tim Scott, Republican, 202-228-5143
South Dakota, Mike Rounds, Republican, 202-224-7482
South Dakota, John Thune, Republican, 202-228-5429
Tennessee, Marsha Blackburn, Republican, 202-228-0566
Tennessee, Bill Hagerty, Republican, 202-228-0566
Texas, John Cornyn, Republican, 512-469-6020
Texas, Ted Cruz, Republican, 202-228-3398
Utah, Mike Lee, Republican, 202-228-1168
Utah, Mitt Romney, Republican, 202-228-0836
Vermont, Bernie Sanders, Independent, 202-228-0776
Vermont, Peter Welch, Democratic, 202-224-3479
Virginia, Tim Kaine, Democratic, 202-228-6363
Virginia, Mark Warner, Democratic, Not Found
Washington, Maria Cantwell, Democratic, 202-228-0514
Washington, Patty Murray, Democratic, 202-224-0238
West Virginia, Shelley Moore Capito, Republican, 202-224-7665
West Virginia, Joe Manchin III, Democratic, 202-228-0002
Wisconsin, Tammy Baldwin, Democratic, 202-224-9787
Wisconsin, Ron Johnson, Republican, 202-228-6965
Wyoming, John Barrasso, Republican, 202-224-1724
